time,Var2,Var3,Var4
SampleTimeMat,SampleTime,Exponent,Alpha
738239.05287037,24-Mar-2021 01:16:08,0.291965006971125,0.77401477176568
738239.053576389,24-Mar-2021 01:17:09,0.240434826189206,0.80616891664687
738239.054282407,24-Mar-2021 01:18:10,0.242868149344019,0.804590575861
738239.054976852,24-Mar-2021 01:19:10,0.223681479785951,0.817206124730206
738239.05568287,24-Mar-2021 01:20:11,0.330263458931678,0.751730789330326
738239.056388889,24-Mar-2021 01:21:12,0.277772085734793,0.782612181909532
738239.057094907,24-Mar-2021 01:22:13,0.298808484771863,0.769936454623371
738239.057789352,24-Mar-2021 01:23:13,0.311854161386201,0.762279855058985
738239.05849537,24-Mar-2021 01:24:14,0.242799690531622,0.804634896209411
738239.059201389,24-Mar-2021 01:25:15,0.250245930775606,0.799842635264277
